datetime,value
2016-10-07 18:00:00+00:00,0.265
2016-10-07 19:00:00+00:00,0.27949999999999997
2016-10-07 20:00:00+00:00,0.28900000000000003
2016-10-07 21:00:00+00:00,0.319
2016-10-07 22:00:00+00:00,0.22800000000000004
2016-10-07 23:00:00+00:00,0.086
2016-10-08 00:00:00+00:00,0.068
2016-10-08 01:00:00+00:00,0.072
2016-10-08 02:00:00+00:00,0.0745
2016-10-08 03:00:00+00:00,0.077
2016-10-08 04:00:00+00:00,0.062
2016-10-08 05:00:00+00:00,0.1095
2016-10-08 06:00:00+00:00,0.0975
2016-10-08 07:00:00+00:00,0.054000000000000006
2016-10-08 08:00:00+00:00,0.1095
2016-10-08 09:00:00+00:00,0.1335
2016-10-08 10:00:00+00:00,0.1115
2016-10-08 11:00:00+00:00,0.138
2016-10-08 12:00:00+00:00,0.161
2016-10-08 13:00:00+00:00,0.1875
2016-10-08 14:00:00+00:00,0.2125
2016-10-08 15:00:00+00:00,0.225
2016-10-08 16:00:00+00:00,0.24900000000000003
2016-10-08 17:00:00+00:00,0.267
2016-10-08 18:00:00+00:00,0.28300000000000003
2016-10-08 19:00:00+00:00,0.2965
2016-10-08 20:00:00+00:00,0.304
2016-10-08 21:00:00+00:00,0.31
2016-10-08 22:00:00+00:00,0.3175
2016-10-08 23:00:00+00:00,0.2995
2016-10-09 00:00:00+00:00,0.3005
2016-10-09 01:00:00+00:00,0.31
2016-10-09 02:00:00+00:00,0.3155
2016-10-09 03:00:00+00:00,0.3225
2016-10-09 04:00:00+00:00,0.33
2016-10-09 05:00:00+00:00,0.3335
2016-10-09 06:00:00+00:00,0.34
2016-10-09 07:00:00+00:00,0.34
2016-10-09 08:00:00+00:00,0.34
2016-10-09 09:00:00+00:00,0.34500000000000003
2016-10-09 10:00:00+00:00,0.3495
2016-10-09 11:00:00+00:00,0.35
2016-10-09 12:00:00+00:00,0.35
2016-10-09 13:00:00+00:00,0.35
2016-10-09 14:00:00+00:00,0.35
2016-10-09 15:00:00+00:00,0.353
2016-10-09 16:00:00+00:00,0.34950000000000003
2016-10-09 19:00:00+00:00,0.40599999999999997
2016-10-09 20:00:00+00:00,0.389
2016-10-09 21:00:00+00:00,0.3815
2016-10-09 22:00:00+00:00,0.38
2016-10-09 23:00:00+00:00,0.379
2016-10-10 00:00:00+00:00,0.3745
2016-10-10 01:00:00+00:00,0.372
2016-10-10 02:00:00+00:00,0.37
2016-10-10 03:00:00+00:00,0.37
2016-10-10 04:00:00+00:00,0.371
2016-10-10 05:00:00+00:00,0.37
2016-10-10 06:00:00+00:00,0.37
2016-10-10 07:00:00+00:00,0.37
2016-10-10 08:00:00+00:00,0.3705
2016-10-10 09:00:00+00:00,0.3715
2016-10-10 10:00:00+00:00,0.37
2016-10-10 11:00:00+00:00,0.3705
2016-10-10 12:00:00+00:00,0.3765
2016-10-10 13:00:00+00:00,0.377
2016-10-10 14:00:00+00:00,0.3735
2016-10-10 15:00:00+00:00,0.379
2016-10-10 16:00:00+00:00,0.43099999999999994
2016-10-10 17:00:00+00:00,0.43099999999999994
2016-10-10 18:00:00+00:00,0.403
2016-10-10 19:00:00+00:00,0.394
2016-10-10 20:00:00+00:00,0.389
2016-10-10 21:00:00+00:00,0.388
2016-10-10 22:00:00+00:00,0.3865
2016-10-10 23:00:00+00:00,0.388
2016-10-11 00:00:00+00:00,0.3835
2016-10-11 01:00:00+00:00,0.381
2016-10-11 02:00:00+00:00,0.38
2016-10-11 03:00:00+00:00,0.38
2016-10-11 04:00:00+00:00,0.38
2016-10-11 05:00:00+00:00,0.38
2016-10-11 06:00:00+00:00,0.381
2016-10-11 07:00:00+00:00,0.38
2016-10-11 08:00:00+00:00,0.38
2016-10-11 09:00:00+00:00,0.38
2016-10-11 10:00:00+00:00,0.38
2016-10-11 11:00:00+00:00,0.38
2016-10-11 12:00:00+00:00,0.4145
2016-10-11 13:00:00+00:00,0.389
2016-10-11 14:00:00+00:00,0.38
2016-10-11 15:00:00+00:00,0.38
2016-10-11 16:00:00+00:00,0.38
2016-10-11 17:00:00+00:00,0.38
2016-10-11 18:00:00+00:00,0.38
2016-10-11 19:00:00+00:00,0.381
2016-10-11 20:00:00+00:00,0.38
2016-10-11 21:00:00+00:00,0.38
2016-10-11 22:00:00+00:00,0.38
2016-10-11 23:00:00+00:00,0.38
2016-10-12 00:00:00+00:00,0.38
2016-10-12 01:00:00+00:00,0.38
2016-10-12 02:00:00+00:00,0.38
2016-10-12 03:00:00+00:00,0.38
2016-10-12 04:00:00+00:00,0.38
2016-10-12 05:00:00+00:00,0.3815
2016-10-12 06:00:00+00:00,0.3805
2016-10-12 07:00:00+00:00,0.38
2016-10-12 08:00:00+00:00,0.38
2016-10-12 09:00:00+00:00,0.38
2016-10-12 10:00:00+00:00,0.38
2016-10-12 11:00:00+00:00,0.3835
2016-10-12 12:00:00+00:00,0.381
2016-10-12 13:00:00+00:00,0.382
2016-10-12 14:00:00+00:00,0.384
2016-10-12 15:00:00+00:00,0.3855
2016-10-12 16:00:00+00:00,0.386
2016-10-12 17:00:00+00:00,0.3765
2016-10-12 18:00:00+00:00,0.366
2016-10-12 19:00:00+00:00,0.3815
2016-10-12 20:00:00+00:00,0.3865
2016-10-12 21:00:00+00:00,0.389
2016-10-12 22:00:00+00:00,0.3895
2016-10-12 23:00:00+00:00,0.389
2016-10-13 00:00:00+00:00,0.389
2016-10-13 01:00:00+00:00,0.39
2016-10-13 02:00:00+00:00,0.39
2016-10-13 03:00:00+00:00,0.3885
2016-10-13 04:00:00+00:00,0.39
2016-10-13 05:00:00+00:00,0.39
2016-10-13 06:00:00+00:00,0.39
2016-10-13 07:00:00+00:00,0.39
2016-10-13 08:00:00+00:00,0.39
2016-10-13 09:00:00+00:00,0.39
2016-10-13 10:00:00+00:00,0.39
2016-10-13 11:00:00+00:00,0.39
2016-10-13 12:00:00+00:00,0.39
2016-10-13 13:00:00+00:00,0.3895
2016-10-13 14:00:00+00:00,0.3895
2016-10-13 15:00:00+00:00,0.39
2016-10-13 16:00:00+00:00,0.39
2016-10-13 17:00:00+00:00,0.389
2016-10-13 18:00:00+00:00,0.3895
2016-10-13 19:00:00+00:00,0.3895
2016-10-13 20:00:00+00:00,0.389
2016-10-13 21:00:00+00:00,0.387
2016-10-13 22:00:00+00:00,0.3895
2016-10-13 23:00:00+00:00,0.39
2016-10-14 00:00:00+00:00,0.39
2016-10-14 01:00:00+00:00,0.3905
2016-10-14 02:00:00+00:00,0.39
2016-10-14 03:00:00+00:00,0.39
2016-10-14 04:00:00+00:00,0.39
2016-10-14 05:00:00+00:00,0.39
2016-10-14 06:00:00+00:00,0.39
2016-10-14 07:00:00+00:00,0.39
2016-10-14 08:00:00+00:00,0.3895
2016-10-14 09:00:00+00:00,0.39
2016-10-14 10:00:00+00:00,0.39
2016-10-14 11:00:00+00:00,0.39
2016-10-14 12:00:00+00:00,0.3895
2016-10-14 13:00:00+00:00,0.39
2016-10-14 14:00:00+00:00,0.39
2016-10-14 15:00:00+00:00,0.39
2016-10-14 16:00:00+00:00,0.398
2016-10-14 17:00:00+00:00,0.42299999999999993
2016-10-14 18:00:00+00:00,0.41200000000000003
2016-10-14 19:00:00+00:00,0.403
2016-10-14 20:00:00+00:00,0.4
2016-10-14 21:00:00+00:00,0.4
2016-10-14 22:00:00+00:00,0.3995
2016-10-14 23:00:00+00:00,0.395
2016-10-15 00:00:00+00:00,0.3905
2016-10-15 01:00:00+00:00,0.39
2016-10-15 02:00:00+00:00,0.39
2016-10-15 03:00:00+00:00,0.39
2016-10-15 04:00:00+00:00,0.39
2016-10-15 05:00:00+00:00,0.3905
2016-10-15 06:00:00+00:00,0.39
2016-10-15 07:00:00+00:00,0.39
2016-10-15 08:00:00+00:00,0.39
2016-10-15 09:00:00+00:00,0.39
2016-10-15 10:00:00+00:00,0.39
2016-10-15 11:00:00+00:00,0.39
2016-10-15 12:00:00+00:00,0.39
2016-10-15 13:00:00+00:00,0.39
2016-10-15 14:00:00+00:00,0.39
2016-10-15 15:00:00+00:00,0.3905
2016-10-15 16:00:00+00:00,0.39
2016-10-15 17:00:00+00:00,0.3905
2016-10-15 18:00:00+00:00,0.39
2016-10-15 19:00:00+00:00,0.39
2016-10-15 20:00:00+00:00,0.39
2016-10-15 21:00:00+00:00,0.39
2016-10-15 22:00:00+00:00,0.39
2016-10-15 23:00:00+00:00,0.39
2016-10-16 00:00:00+00:00,0.39
2016-10-16 01:00:00+00:00,0.39
2016-10-16 02:00:00+00:00,0.39
2016-10-16 03:00:00+00:00,0.39
2016-10-16 04:00:00+00:00,0.39
2016-10-16 05:00:00+00:00,0.39
2016-10-16 06:00:00+00:00,0.39
2016-10-16 07:00:00+00:00,0.39
2016-10-16 08:00:00+00:00,0.39
2016-10-16 09:00:00+00:00,0.39
2016-10-16 10:00:00+00:00,0.39
2016-10-16 11:00:00+00:00,0.39
2016-10-16 12:00:00+00:00,0.39
2016-10-16 13:00:00+00:00,0.39
2016-10-16 14:00:00+00:00,0.39
2016-10-16 15:00:00+00:00,0.39
2016-10-16 16:00:00+00:00,0.39
2016-10-16 17:00:00+00:00,0.39
2016-10-16 18:00:00+00:00,0.39
2016-10-16 19:00:00+00:00,0.39
2016-10-16 20:00:00+00:00,0.39
2016-10-16 21:00:00+00:00,0.39
2016-10-16 22:00:00+00:00,0.3895
2016-10-16 23:00:00+00:00,0.391
2016-10-17 00:00:00+00:00,0.39
2016-10-17 01:00:00+00:00,0.3905
2016-10-17 02:00:00+00:00,0.39
2016-10-17 03:00:00+00:00,0.39
2016-10-17 04:00:00+00:00,0.39
2016-10-18 13:00:00+00:00,0.33
